joke,"He smiled thinly , savoring his joke ."
wavy,"In litters of eight mice from similar parents , the number of mice with straight instead of wavy hair is an integer from 0 to 8 ."
min,"per min."
measuring,"measuring scale -- Soap , neutral chip -- fed."
baton,"Bill Davis quartet of Hillsboro was second and baton twirler Sue Ann Nuttall of Reedville third ."
pail,"I took the pail and shovel and went out on the porch ."
swamped,"In 1707 an earthquake in Japan generated waves so huge that they piled into the Inland Sea ; ; one wave swamped more than 1,000 ships and boats in Osaka Bay ."
feast,"However , this inaugural feast did its sponsors no good whatever ."
brackish,"The water was warm and stale and had a brackish taste ."
belting,"The firm also handles gin and oil mill supplies such as belting , bearings , etc."
nodular,"What it does : Reduces losses from stomach , hookworm , and nodular worms by interfering with reproduction of the female worm by reducing the number of eggs laid and essentially rendering all laid eggs sterile ."
slumped,"His head slumped ."
honesty,"( D ) honesty in government ."
gush,"He told Argiento to take a bird out of the cage , cut a large vein under its wing , let the blood gush into Michelangelo's injured eye ."
parting,"They were both so young , after all , so unready for any final parting ."
subtler,"Such characters , with their low existence and often low morality , produce humorous effects in his novels and tales , as they did in the writing of Longstreet and Hooper and Harris , but it need not be added that he gives them far subtler and more intricate functions than they had in the earlier writers ; ; nor is there need to add that among them are some of the most highly individualized and most successful of his characters ."
cometary,"According to Whipple ( 1955 ) , cometary debris is sufficient to replenish the material spiraling into the sun , maintaining a fairly steady state ."
sharply,"He said sharply ."
marking,"Pen and ink , indelible -- or other suitable marking device ."
flanked,"Large warehouses flanked the street on which the hall fronted ."
convex,"This theorem is similar to the theorem of Kakutani that there exists a circumscribing cube around any closed , bounded convex set in Af ."
beast,"It ran , this apocalyptic beast , on two thin legs , and its wings -- were they feathered arms ?"
reduction,"For English the reduction in size is less striking ."
balding,"Tooling through Sydney on his way to race in the New Zealand Grand Prix , Britain's balding Ace Driver Stirling Moss , 31 , all but smothered himself in his own exhaust of self-crimination ."
singer,"`` La Gioconda '' , like it or not , is a singer's opera ."
falsity,"Will argument and debate decide its truth or falsity ?"
flirted,"Once there had been big glittering rooms where Ulanys bowed and kissed the ladies' hands as they flirted from behind their fans ."
bilked,"To exonerate the legislature and thereby extricate himself from a sticky situation , Pike took another course and made it appear that the legislature had been bilked ."
uncle,"My uncle looked at Mr. Gorboduc ."
ligament,"There is definitely some ligament damage in his knee '' ."
chasing,"They were chasing a rain cloud ."
don,"Though his character is broader and more comically rounded than the don , he gives it a firmness and toughness -- a sort of peasant dignity -- too ."
forisque,"These were his public academic activities , domi forisque , in the college and in the university ."
fold,"Don't worry , Cady , he'll be back in the Beethoven fold by next year '' ."
leading,"`` You're leading Dad down the garden path '' ."
waver,", suppression of `` dangerous ideas '' , many waver and give in ."
what,"So what ?"
eyd,"But I wold say I recond he did not mind it for he had a plenty more left and then they would lean to me like a sore eyd kitten to a basin of milk '' ."
sworn,"The important result , however , was that Juet and Francis Clemens , the deposed boatswain , became Hudson's sworn enemies ."
painted,"It will be painted to match the paneling in the room ."
gin,"They make gin saws and deal in parts , supplies and some used gin machinery ."
ear,"The receiver clicked in my ear ."
grief,"No doubt Mrs. Meeker had snubbed him many a time and he felt no grief over her passing ."
syringa,"In the center of any open space remaining our grandfathers had planted syringa and sweet-shrub , snowball , rose-of-Sharon and balm-of-Gilead ."
personal,"`` Your personal guard ?"
mystique,"Jazz , like sex , is a mystique ."
warm,"It's plenty warm '' ."
routed,"Johnny Blanchard , Mantle's replacement , slammed a 2-run homer as the Yankees routed loser Joey Jay in a 5-run first inning ."
derby,"This , together with a derby hat and horn-rim eyeglasses , gave me the appearance of a Russian nihilist ."
formal,"The group conducting the review is not holding formal hearings ."
flushed,"His face was flushed ."
frailest,"However , it was not of innocence in general that I was speaking , but of perhaps the frailest and surely the least important side of it which is innocence in romantic love ."
hawing,"Little geeing and hawing have been necessary '' ."
pry,"I don't mean to pry , but do they hide the swimsuit with the bubbles ?"
covering,"Powers was covering the remaining guard ."
disc,"The playing takes both sides of the disc ."
posing,"Flanked by marble urns and alabaster lamps , they seemed to be posing for a tribal portrait ."
watery,"He poured the water off the sourdough and off the flour , salvaging the chunky , watery messes for biscuits of a sort ."
elbow,"Johnnie rose on one elbow ."
field,", the field of complex numbers ."
voiced,"Goodis voiced his objection before City Council's Finance Committee ."
naively,"It is not our impression that these evaluations are naively uncritical resultants of blissful ignorance ; ; rather , the generality of these students find their university experience congenial to their own sense of values ."
blurted,"But a glance at Songau and the other women confirmed what Brassnose had blurted out ."
lest,"He trembled lest his piece should fail ."
insuperably,"It is hard , on the other hand , to blame the policeman , blank , good-natured , thoughtless , and insuperably innocent , for being such a perfect representative of the people he serves ."
plaid,"They would be black or white or horse-blanket plaid , chic and splashy , like Vivian herself ."
minor,"That's quite minor , nothing to worry about ."
cage,"The surgeon carried a cage of live pigeons ."
bearing,"Kodyke had appeared at the mine one day bearing a letter from Kruger ."
foresaw,"If he foresaw any problem because of the quality of the hymen , it was recommended that simple procedures be undertaken at once to incise the hymen or , preferably , to dilate it ."
maudlin,"Though put in rather maudlin terms , Steele's defense of himself has a reasonable basis ."
inject,"When this water level has been reached inject steam until the temperature is that shown in Column Aj ."
win,"I'd win hands down ."
fawn,"Her Nicolas lay curled in the sun like a fawn , black hair falling over his eyes ."
touching,"It was funny but it was also touching ."
